Training_Source,Topic,Public_Package_Use,Sanitization_or_Engineering_Change
1_Distributed_Computing/School/Final_HPC SLURM System Documentation.pdf,"Slurm navigation, submission, monitoring, OpenMP, MPI, GPU jobs",docs/IMPLEMENTATION_GUIDE.md; examples/slurm/*,Converted to compact publication-safe examples; site-specific module names are documented as adaptable.
.../Basic Slurm Usage/1 Running shell commands across nodes/1 codes/shell_comm.slurm,srun across allocated nodes,examples/slurm/01_basic_multinode.sbatch,"Retained concept; added strict shell mode, explicit logging, and allocation diagnostics."
".../Requesting CPU, GPU, memory resources/1 Single_node_gpu/1 codes/single_node_gpu_test.slurm",single-node GPU request and nvidia-smi,examples/slurm/04_gpu_single_node.sbatch,Generalized partition/module assumptions; retained GPU diagnostics.
".../Requesting CPU, GPU, memory resources/2 Multi_node_gpu/1 codes/multi_node_gpu_test.slurm",multi-node GPU request,examples/slurm/05_gpu_multinode_probe.sbatch,Fixed incomplete shell quoting and made node/GPU layout publication-safe.
.../Submitting PyTorch training scripts via sbatch/1 codes/pytorch_sbatch.slurm,single-GPU PyTorch through sbatch,examples/slurm/06_pytorch_single_gpu.sbatch,Added reproducible environment reporting and fail-fast behavior.
.../Controlling job distribution/1 codes/job_dist.slurm,nodes/tasks/time/partition control,docs/IMPLEMENTATION_GUIDE.md,Incorporated into scheduler policy and resource-request guidance.
.../Slurm and PyTorch Distributed Launch/1 codes/distributed_launch.slurm,distributed PyTorch launch,examples/slurm/07_pytorch_ddp.sbatch,Reworked to initialize rank/world-size robustly from Slurm.
".../Customizing node communication, port management/1 codes/port_manag.slurm",master address and port management,examples/slurm/07_pytorch_ddp.sbatch,Uses first allocated host and a job-derived port; no fixed IP address.
.../Fault-tolerant and scalable job scripts for AI training/1 codes/fault_tolerant.slurm,requeue/checkpoint pattern,examples/slurm/08_pytorch_ddp_requeue.sbatch,"Added signal handling, checkpoint directory, and requeue-safe logic."
2_Distribtued_Computing_Setup/Codes/Setting_NCCL/run_nccl.slurm,NCCL distributed setup,examples/slurm/07_pytorch_ddp.sbatch; examples/python/ddp_smoke_test.py,"Removed internal IP addresses, node names, NIC names, and forced IB-disable setting."
2_Distribtued_Computing_Setup/Codes/Setting_GLOO/run_gloo.slurm,Gloo distributed setup,examples/python/ddp_smoke_test.py,Backend is selected safely at runtime; internal NIC mapping is not published.
