Requirement_ID,Requirement_Category,Extracted_Requirement,Framework_Component,Implementation_Implication,Supporting_Citation_Keys
REQ-01,physical architecture,Provide heterogeneous CPU and GPU compute pools together with dedicated login and management services.,Physical HPC infrastructure,Support general scientific workloads and accelerated/AI workloads without using login nodes for production compute.,nvidiasuperpod2025; weidner2017rethinking
REQ-02,storage tiering,Separate high-performance temporary work storage from persistent project or archival storage.,Physical HPC infrastructure,"Provision storage by performance, persistence, and governance function rather than as one undifferentiated capacity pool.",stanfordstorage2026; princetonstorage2026; nersclustre2026
REQ-03,physical architecture / monitoring,Provide independent out-of-band management.,Physical HPC infrastructure,"Enable recovery, health monitoring, and fault isolation when in-band services are unavailable.",nvidiasuperpod2025
REQ-04,resource scheduling,"Use separate scheduler partitions for teaching, research, and priority/interactive workloads.",System software & resource management,Prevent all workloads from competing in a single unstructured queue and protect scheduled teaching/interactive access.,slurmqos2026; slurmtopology2026
REQ-05,resource scheduling / governance,Use QoS classes to express queue discipline and differentiated service.,System software & resource management,"Encode limits, priorities, and service classes for different institutional workloads.",slurmqos2026
REQ-06,monitoring / governance,Retain scheduler accounting data.,System software & resource management,"Use job/accounting history for capacity planning, governance review, and possible recharge models.",slurmqos2026
REQ-07,reproducibility / security,"Provide container support suitable for shared HPC, including user-context execution and image controls.",System software & resource management,Use approved container workflows to improve reproducibility while maintaining shared-system security.,apptainersecurity2026; apptainersign2026
REQ-08,reproducibility,Expose versioned software environments using modules and managed package stacks.,System software & resource management,Allow multiple compiler/MPI/library stacks to coexist and reduce configuration drift.,openhpcdownloads2026
REQ-09,monitoring,"Monitor job telemetry, filesystem usage, queue states, and environment health.",System software & resource management,"Make scaling, troubleshooting, and governance evidence-based.",slurmtopology2026; nvidiasuperpod2025
REQ-10,user access / pedagogy,Provide browser-based notebook access for students and researchers who should not be required to begin with shell-only workflows.,AI & data platform,Lower the entry barrier while preserving governed access to shared resources.,jupyterhub2026; oodhome2026; princetonondemand2026
REQ-11,user access / resource scheduling,Keep interactive notebook use distinct from production jobs.,AI & data platform,Route long-running or production workloads through scheduler-controlled resources instead of unmanaged notebook sessions.,ethjupyter2026
REQ-12,reproducibility / model lifecycle,Provide versioned model-registry capability for AI workflows.,AI & data platform,"Track model versions, metadata, aliases, and promotion paths from experiments to registered artifacts.",mlflowregistry2026
REQ-13,data movement / security,Use mediated mechanisms for large research-data movement rather than ad hoc desktop transfer where possible.,AI & data platform,Improve reliability and control of inter-system research-data transfer.,globus2026
REQ-14,pedagogy,"Offer teaching laboratories with templates, quota-bounded sessions, and assessment support.",Institutional service layer,Integrate the platform directly into course delivery and protect course capacity.,mullen2019mooc; oodhome2026; jupyterhub2026
REQ-15,research enablement,"Provide governed faculty research allocations with CPU/GPU/storage access, software support, and consultation.",Institutional service layer,Translate infrastructure capacity into a usable research-computing service.,stanfordsherlock2026; weidner2017rethinking
REQ-16,external-project support / governance,"Create formal external-partner project workflows with data-use agreements, access approval, costing, and segregated workspaces.",Institutional service layer,Avoid informal mixing of external work with internal research queues and reduce security/costing ambiguity.,etzkowitz2003triple; nsfccstar2024
REQ-17,innovation support,Provide a pathway for proof-of-concept work to move toward validation and technology-transfer/incubator handoff.,Institutional service layer,Connect technical platform use with third-generation university innovation and translation functions.,wissema2009third; etzkowitz2003triple; feola2021entrepreneurial
REQ-18,governance / readiness,"Complete workload, facilities, cybersecurity, network, software-policy, and staffing assessment before procurement.",Phase 1: institutional readiness,Make procurement science/demand driven rather than hardware-first.,nsfccstar2024
REQ-19,pedagogy / storage tiering,Teach storage policy explicitly during teaching and research integration.,Phase 3: teaching and research integration,Help users distinguish persistent code/project space from temporary high-performance job I/O.,stanfordstorage2026; princetonstorage2026; nerscbestpractices2026
REQ-20,external-project support / sustainability,"Define project collaboration workflows, data classifications, approval chains, cost-recovery rules, and retention/sunset policies before external-service enablement.",Phase 4: external service enablement,Provide a governed service boundary for external projects.,nsfccstar2024; stanfordsherlock2026
REQ-21,sustainability,"Use utilization analytics, periodic refresh planning, training, and stable budget mechanisms during scale-out.",Phase 5: scale-out and sustainability,Treat durable operating capability and workforce development as part of infrastructure sustainability.,stanfordsherlock2026; nsfccstar2024
REQ-22,identity and security,Integrate identity/access management and apply role/project-based controls; use MFA where appropriate.,System software & resource management / Governance,Create auditable access boundaries for internal and external users.,apptainersecurity2026; nsfccstar2024
REQ-23,networking,"Separate compute fabric, storage fabric, in-band service/management access, and out-of-band management.",Physical HPC infrastructure,Avoid conflating distinct traffic and management functions in campus HPC design.,nvidiasuperpod2025
REQ-24,pedagogy / workforce development,"Provide onboarding, training materials, workshops, and scalable beginner pathways.",Institutional service layer,Broaden participation and reduce dependence on a small expert user group.,mullen2019mooc; nsfccstar2024
REQ-25,mission alignment,"Design the platform jointly for education, research, innovation, and external engagement.",Cross-layer design principle,Evaluate technical architecture and institutional operating arrangements together.,wissema2009third; nsfccstar2024; clark1998entrepreneurial
